icd_code,krankheit,beschreibung,symptome,keywords,embedding_text
C91.1,Chronische lymphatische Leukämie,Langsam verlaufende bösartige Erkrankung der B-Lymphozyten mit Ansammlung abnormaler Lymphozyten im Blut Knochenmark und lymphatischen Geweben.,Müdigkeit;Lymphozytose;Lymphknotenschwellung;Nachtschweiß,CLL;chronische Leukämie;B-Zell Malignom,"ICD C91.1 Chronische lymphatische Leukämie. Hämatologische Krebserkrankung mit Ansammlung reifer B-Lymphozyten. Typische Befunde sind erhöhte Lymphozyten im Blut vergrößerte Lymphknoten Müdigkeit und wiederkehrende Infektionen."
C34.9,Lungenkarzinom nicht näher bezeichnet,Bösartiger Tumor des Lungengewebes häufig assoziiert mit Rauchen oder Umweltbelastungen.,anhaltender Husten;Bluthusten;Brustschmerz;Gewichtsverlust,Lungenkrebs;pulmonaler Tumor;Raucherkrankheit,"ICD C34.9 Lungenkarzinom. Maligne Neubildung der Lunge mit Symptomen wie chronischem Husten Brustschmerzen Bluthusten und Gewichtsverlust."
C50.9,Mammakarzinom nicht näher bezeichnet,Bösartiger Tumor des Brustdrüsengewebes häufig entdeckt durch Screening oder tastbaren Knoten.,Knoten in der Brust;Hautveränderungen;Sekretion aus der Brustwarze,Brustkrebs;Mammakarzinom,"ICD C50.9 Mammakarzinom. Bösartige Tumorerkrankung der Brust die häufig durch einen tastbaren Knoten oder Veränderungen der Brust erkannt wird."
E11.9,Diabetes mellitus Typ 2,Stoffwechselerkrankung mit Insulinresistenz und dauerhaft erhöhtem Blutzucker.,vermehrtes Wasserlassen;starker Durst;Müdigkeit;Sehstörungen,Typ 2 Diabetes;Hyperglykämie;Stoffwechselkrankheit,"ICD E11.9 Diabetes mellitus Typ 2. Chronische Stoffwechselerkrankung mit erhöhtem Blutzucker aufgrund von Insulinresistenz."
I21.9,Akuter Myokardinfarkt nicht näher bezeichnet,Akute Schädigung des Herzmuskels durch Unterbrechung der Blutversorgung der Herzkranzgefäße.,Brustschmerz;Atemnot;Übelkeit;Kaltschweißigkeit,Herzinfarkt;Koronarverschluss,"ICD I21.9 Akuter Myokardinfarkt auch Herzinfarkt genannt verursacht durch plötzlichen Verschluss einer Koronararterie."
J45.9,Asthma bronchiale nicht näher bezeichnet,Chronisch entzündliche Erkrankung der Atemwege mit anfallsartiger Atemnot.,pfeifende Atmung;Atemnot;Husten;Brustenge,Asthma;Atemwegserkrankung,"ICD J45.9 Asthma bronchiale chronische Entzündung der Atemwege mit wiederkehrender Atemnot und Husten."
K35.9,Akute Appendizitis nicht näher bezeichnet,Akute Entzündung des Wurmfortsatzes des Blinddarms meist behandlungsbedürftig durch Operation.,Bauchschmerz rechts unten;Fieber;Übelkeit;Druckschmerz,Appendizitis;akutes Abdomen,"ICD K35.9 Akute Appendizitis Entzündung des Wurmfortsatzes mit Schmerzen im rechten Unterbauch Fieber und Übelkeit."
M54.5,Kreuzschmerz,Häufige muskuloskelettale Beschwerde im Bereich der Lendenwirbelsäule.,Schmerzen im unteren Rücken;Steifigkeit;Bewegungseinschränkung,Rückenschmerz;LWS Syndrom,"ICD M54.5 Kreuzschmerz häufige Erkrankung der Lendenwirbelsäule mit Schmerzen und eingeschränkter Beweglichkeit."
F32.9,Depressive Episode nicht näher bezeichnet,Affektive Störung mit anhaltend gedrückter Stimmung und vermindertem Antrieb.,Traurigkeit;Antriebslosigkeit;Schlafstörungen;Interessenverlust,Depression;affektive Störung,"ICD F32.9 Depressive Episode psychische Erkrankung mit anhaltender Niedergeschlagenheit verminderter Energie und Interessenverlust."
N39.0,Harnwegsinfektion nicht näher bezeichnet,Bakterielle Infektion der Harnwege häufig verursacht durch aufsteigende Keime.,Brennen beim Wasserlassen;häufiger Harndrang;Unterbauchschmerz,HWI;Blasenentzündung,"ICD N39.0 Harnwegsinfektion bakterielle Infektion der Harnwege mit Schmerzen beim Wasserlassen und häufigem Harndrang."
